Ensembl_ID,Gene_Symbol,HNC_WGCNA_Module,OPSCC_WGCNA_Module,VSCC_WGCNA_Module,HNC_log2FC,OPSCC_log2FC,VSCC_log2FC,Stouffer_Score,SD,Included_in_35_Gene_Signature
ENSG00000095777,MYO3A,turquoise,black,green,4.31,0.1,0.01,5.41,3.11,No
ENSG00000122188,LAX1,blue,brown,red,3.12,2.07,-0.01,5.41,2.8,No
ENSG00000197852,INKA2,Not in network,Not in network,Not in network,0.76,1.45,0.03,5.41,3.56,No
ENSG00000250548,LINC01303,turquoise,Not in network,Not in network,-3.36,-0.09,-0.01,-5.41,4.31,No
ENSG00000272674,PCDHB16,turquoise,brown,grey,-3.02,-0.13,0.02,-5.41,5.02,No
ENSG00000139044,B4GALNT3,blue,brown,grey,-3.39,-0.27,0.01,-5.39,4.31,No
ENSG00000179051,RCC2,Not in network,Not in network,Not in network,0.95,0.04,0.09,5.39,4.33,No
ENSG00000035720,STAP1,blue,brown,Not in network,2.27,2.42,-0.01,5.38,3.22,No
ENSG00000142784,WDTC1,Not in network,Not in network,Not in network,1.1,0.31,0.34,5.36,2.43,No
ENSG00000171914,TLN2,turquoise,turquoise,Not in network,-2.5,-0.07,-0.04,-5.36,4.41,No
ENSG00000196670,ZFP62,Not in network,Not in network,Not in network,1.36,0.31,-0.03,5.35,4.53,No
ENSG00000211935,IGHV1-3,blue,brown,red,5.39,0.12,0.01,5.35,3.51,No
ENSG00000187957,DNER,turquoise,grey,grey,-4.76,0.04,-0.01,-5.34,5.3,No
ENSG00000180535,BHLHA15,blue,brown,red,3.12,0.93,0.03,5.33,2.5,No
ENSG00000198947,DMD,brown,blue,turquoise,2.64,1.68,0.02,5.33,2.7,No
ENSG00000203930,LINC00632,turquoise,Not in network,brown,-2.87,-0.13,-0.02,-5.32,3.27,No
ENSG00000262919,CCNQ,Not in network,Not in network,Not in network,-1.1,-0.45,0,-5.31,3.68,No
ENSG00000104611,SH2D4A,turquoise,turquoise,Not in network,1.67,0.15,0.03,5.3,4.07,No
ENSG00000133302,SLF1,Not in network,Not in network,Not in network,1.42,0.08,0.03,5.3,4.57,No
ENSG00000166579,NDEL1,Not in network,Not in network,Not in network,-1.18,-0.66,-0.02,-5.3,2.92,No
ENSG00000080854,IGSF9B,brown,magenta,grey,1.83,2.58,0.02,5.29,2.71,No
ENSG00000141510,TP53,blue,black,Not in network,1.79,0.23,0.42,5.29,2.43,No
ENSG00000196126,HLA-DRB1,blue,blue,grey,2.72,0.15,-0.01,5.29,4.9,No
ENSG00000205038,PKHD1L1,blue,brown,turquoise,3.76,0.09,0,5.29,4.67,No
ENSG00000106105,GARS1,Not in network,Not in network,Not in network,-0.98,-0.42,-0.2,-5.28,2.21,No
