Ensembl_ID,Gene_Symbol,HNC_WGCNA_Module,OPSCC_WGCNA_Module,VSCC_WGCNA_Module,HNC_log2FC,OPSCC_log2FC,VSCC_log2FC,Stouffer_Score,SD,Included_in_35_Gene_Signature
ENSG00000151164,RAD9B,turquoise,black,Not in network,2.38,1.5,0.01,8.17,5.29,No
ENSG00000184368,MAP7D2,turquoise,brown,green,4.98,0.15,0.01,8.13,5.67,No
ENSG00000165244,ZNF367,Not in network,black,green,1.62,0.46,0.06,8.08,5.53,No
ENSG00000141485,SLC13A5,yellow,turquoise,grey,-6.27,-0.02,0.02,-8.07,7.1,No
ENSG00000123219,CENPK,Not in network,black,Not in network,1.75,0.11,-0.01,8.03,7.76,No
ENSG00000162341,TPCN2,Not in network,black,grey,-1.32,-2.1,-0.53,-8.03,2.14,No
ENSG00000125864,BFSP1,turquoise,Not in network,Not in network,-3.12,-0.22,0,-8.02,6.72,No
ENSG00000242534,IGKV2D-28,blue,brown,red,3.93,3.67,0.03,7.96,2.95,No
ENSG00000073792,IGF2BP2,blue,brown,green,-2.91,-2.54,-0.04,-7.93,2.78,No
ENSG00000164509,IL31RA,turquoise,yellow,grey,-3.62,-0.08,-0.04,-7.93,5.29,No
ENSG00000223485,LINC01615,turquoise,turquoise,grey,-3.56,-0.12,-0.01,-7.92,6.01,No
ENSG00000148680,HTR7,turquoise,turquoise,green,-4.61,-0.07,-0.02,-7.91,5.83,No
ENSG00000175505,CLCF1,turquoise,brown,grey,-2.68,-0.11,-0.08,-7.87,5.59,No
ENSG00000079435,LIPE,turquoise,black,grey,2.53,1.43,0.03,7.85,3.31,No
ENSG00000104427,ZC2HC1A,turquoise,Not in network,grey,2.02,0.68,-0.02,7.84,6.19,No
ENSG00000204764,RANBP17,turquoise,black,grey,3.37,0.18,0.04,7.84,4.8,No
ENSG00000100243,CYB5R3,Not in network,Not in network,Not in network,-1.15,-0.17,-0.02,-7.82,6.87,No
ENSG00000100350,FOXRED2,turquoise,Not in network,green,1.63,0.1,1.61,7.82,3.58,No
ENSG00000142632,ARHGEF19,Not in network,yellow,brown,1.28,0.15,0.8,7.82,4.99,No
ENSG00000179299,NSUN7,turquoise,turquoise,yellow,3.24,0.02,0.04,7.8,6.3,No
ENSG00000170454,KRT75,turquoise,brown,grey,-4.44,-0.17,0.02,-7.79,5.74,No
ENSG00000229891,LINC01315,turquoise,brown,Not in network,3.79,0.04,0.02,7.73,6.48,No
ENSG00000102898,NUTF2,Not in network,Not in network,Not in network,-1.41,-0.92,-0.01,-7.72,4.06,No
ENSG00000147509,RGS20,turquoise,black,grey,-3.57,-0.17,-0.05,-7.67,4.69,No
ENSG00000241351,IGKV3-11,blue,brown,red,2.88,3.44,0.02,7.59,3.7,No
ENSG00000149716,LTO1,Not in network,black,grey,-1.41,-2.21,-0.04,-7.56,3.4,No
ENSG00000167754,KLK5,turquoise,green,grey,-5.8,-0.11,-0.01,-7.56,4.72,No
ENSG00000117155,SSX2IP,Not in network,Not in network,blue,1.55,0.8,0.04,7.55,4.31,No
ENSG00000125848,FLRT3,turquoise,black,grey,-5.07,-0.24,-0.01,-7.5,4.48,No
ENSG00000103257,SLC7A5,brown,black,grey,-2.22,-2.16,-0.05,-7.49,2.82,No
ENSG00000174197,MGA,Not in network,Not in network,Not in network,1.24,0.22,0.34,7.49,4.75,No
ENSG00000159713,TPPP3,turquoise,pink,grey,-3.76,-0.12,0.02,-7.48,5.78,No
ENSG00000136114,THSD1,turquoise,turquoise,grey,-3.23,-0.67,-0.03,-7.44,4.73,No
ENSG00000125148,MT2A,turquoise,brown,grey,-1.87,-2.37,-0.02,-7.42,3.69,No
ENSG00000003137,CYP26B1,turquoise,blue,grey,-3.06,-0.06,-0.02,-7.41,6.62,No
ENSG00000211662,IGLV3-21,blue,brown,red,3.2,3.01,0.01,7.39,3.12,No
ENSG00000240038,AMY2B,turquoise,black,grey,2.07,1.58,0.02,7.37,3.97,No
ENSG00000026508,CD44,Not in network,brown,grey,-1.51,-0.48,-0.09,-7.35,4.45,No
ENSG00000103546,SLC6A2,turquoise,black,grey,-6.42,-0.1,0.01,-7.35,5.5,No
ENSG00000139318,DUSP6,Not in network,brown,grey,-1.14,-2.16,-0.09,-7.33,3.65,No
ENSG00000244116,IGKV2-28,blue,brown,red,4.51,2.96,0.02,7.31,2.57,No
ENSG00000183760,ACP7,yellow,green,grey,-5.59,-0.09,0.02,-7.3,6.95,No
ENSG00000161509,GRIN2C,magenta,black,grey,2.59,0.16,1.79,7.29,2.8,No
ENSG00000108774,RAB5C,Not in network,Not in network,Not in network,-0.89,-0.34,-0.09,-7.27,4.74,No
ENSG00000228742,LINC02577,turquoise,pink,grey,-3.42,-0.13,-0.02,-7.26,3.99,No
ENSG00000150687,PRSS23,turquoise,Not in network,green,-2.98,-0.1,-0.17,-7.23,5.2,No
ENSG00000290862,NMRAL2P,blue,yellow,grey,-5.06,-0.02,-0.01,-7.22,6.5,No
ENSG00000125648,SLC25A23,turquoise,turquoise,green,1.45,0.44,1.3,7.21,2.7,No
ENSG00000186594,MIR22HG,turquoise,Not in network,Not in network,-1.84,0.02,-0.02,-7.19,7.01,No
ENSG00000188706,ZDHHC9,Not in network,Not in network,Not in network,-1.51,-0.39,0,-7.16,5.69,No
ENSG00000103005,USB1,turquoise,Not in network,Not in network,-1.64,-0.45,-0.09,-7.12,4.32,No
ENSG00000183963,SMTN,turquoise,black,Not in network,-2.36,-0.43,0.04,-7.11,5.86,No
ENSG00000173077,DELEC1,turquoise,turquoise,grey,-4.51,-0.03,-0.01,-7.1,5.97,No
ENSG00000197535,MYO5A,turquoise,Not in network,Not in network,-1.93,-1.09,-0.03,-7.1,3.47,No
ENSG00000167723,TRPV3,turquoise,yellow,grey,-3.31,-0.32,0,-7.09,4.97,No
ENSG00000157470,FAM81A,turquoise,turquoise,Not in network,2.47,0.86,0.01,7.07,3.33,No
ENSG00000070770,CSNK2A2,Not in network,Not in network,Not in network,-1.12,-0.73,-0.01,-7.06,3.74,No
ENSG00000112559,MDFI,turquoise,brown,grey,-1.94,-1.54,-0.02,-7.04,3.29,No
ENSG00000147536,GINS4,turquoise,grey,black,1.77,0.09,0.83,7.03,4.18,No
ENSG00000147894,C9orf72,turquoise,Not in network,Not in network,2.19,1.14,-0.38,7.02,5.92,No
ENSG00000169184,MN1,turquoise,turquoise,grey,-3.09,-0.09,-0.02,-7,5.44,No
ENSG00000100029,PES1,Not in network,Not in network,Not in network,-1.26,-0.63,-0.01,-6.98,4.11,No
ENSG00000104432,IL7,blue,Not in network,grey,2.14,0.28,0,6.97,6.04,No
ENSG00000105974,CAV1,turquoise,turquoise,red,-3.09,-0.3,-0.01,-6.97,4.59,No
ENSG00000224650,IGHV3-74,blue,brown,turquoise,5.18,2.1,0,6.96,3.75,No
ENSG00000106366,SERPINE1,turquoise,turquoise,grey,-3.95,-0.1,-0.06,-6.92,3.87,No
ENSG00000186638,KIF24,Not in network,Not in network,Not in network,1.65,0.14,0.06,6.91,5.24,No
ENSG00000099139,PCSK5,turquoise,turquoise,grey,-2.82,-0.16,-0.04,-6.89,4.68,No
ENSG00000113368,LMNB1,Not in network,black,Not in network,1.79,0.1,0.27,6.89,4.87,No
ENSG00000189410,SH2D5,turquoise,brown,grey,-3.04,-2.27,-0.01,-6.89,3.32,No
ENSG00000175305,CCNE2,turquoise,black,Not in network,2.03,0.81,0.09,6.88,3.26,No
ENSG00000185567,AHNAK2,blue,yellow,grey,-3.63,-0.1,-0.01,-6.87,5.65,No
ENSG00000180998,GPR137C,turquoise,Not in network,Not in network,2.57,0.42,0.01,6.84,5.22,No
ENSG00000211938,IGHV3-7,blue,brown,red,4.96,2.54,0.02,6.84,2.54,No
ENSG00000110777,POU2AF1,blue,brown,red,2.86,2.55,0.01,6.82,3.34,No
ENSG00000159259,CHAF1B,Not in network,Not in network,Not in network,1.6,0.2,0.43,6.82,4.21,No
ENSG00000177576,C18orf32,Not in network,Not in network,Not in network,1.68,0.38,0.04,6.82,4.94,No
ENSG00000013306,SLC25A39,Not in network,Not in network,yellow,-1.31,-0.72,0.01,-6.81,4.27,No
ENSG00000085276,MECOM,blue,black,Not in network,2.17,2.07,0.03,6.81,3.04,No
ENSG00000056736,IL17RB,turquoise,turquoise,green,3.08,0.18,1.41,6.8,2.42,No
ENSG00000102098,SCML2,turquoise,turquoise,grey,3.12,0.04,1.1,6.79,4.5,No
ENSG00000183454,GRIN2A,brown,brown,turquoise,4.32,3.64,0.01,6.79,3.21,No
ENSG00000188761,BCL2L15,blue,black,Not in network,3.48,2.12,-0.03,6.78,4.93,No
ENSG00000005243,COPZ2,blue,turquoise,grey,-2.61,-0.07,0,-6.75,6.24,No
ENSG00000137267,TUBB2A,turquoise,yellow,grey,-2.45,-1.11,-0.01,-6.67,3.96,No
ENSG00000214694,ARHGEF33,turquoise,black,green,2.86,0.12,0.02,6.67,4.87,No
ENSG00000241634,RPL13P8,Not in network,Not in network,Not in network,2.67,0.15,0,6.66,6.01,No
ENSG00000246582,TNFRSF10A-DT,Not in network,Not in network,brown,1.58,0.04,0.02,6.65,5.86,No
ENSG00000138587,MNS1,turquoise,turquoise,Not in network,2.71,0,0.02,6.64,6.14,No
ENSG00000122641,INHBA,turquoise,turquoise,grey,-3.84,-0.06,-0.04,-6.63,3.57,No
ENSG00000182648,RNF32-DT,turquoise,Not in network,green,2.03,0.02,0.86,6.62,4.55,No
ENSG00000269404,SPIB,blue,brown,Not in network,5.76,0.06,-0.01,6.61,5.27,No
ENSG00000133818,RRAS2,Not in network,Not in network,Not in network,-1.72,-0.58,-0.04,-6.6,4.04,No
ENSG00000159674,SPON2,turquoise,turquoise,grey,-2.96,-0.14,-0.01,-6.6,5.38,No
ENSG00000148204,CRB2,brown,brown,grey,5.38,0.06,0.01,6.58,4.61,No
ENSG00000211669,IGLV3-10,blue,brown,grey,4.91,0.13,0.02,6.55,3.69,No
ENSG00000126016,AMOT,turquoise,grey,turquoise,3.27,0.22,0.03,6.54,3.75,No
ENSG00000132704,FCRL2,blue,brown,grey,3.73,2.74,-0.01,6.51,3.59,No
ENSG00000183323,CCDC125,Not in network,Not in network,Not in network,1.51,0.2,0.02,6.44,5.43,No
ENSG00000019169,MARCO,turquoise,blue,blue,4.17,0.16,-0.01,6.42,5.25,No
ENSG00000101825,MXRA5,turquoise,turquoise,grey,-3.11,-0.03,0,-6.41,6.23,No
ENSG00000138944,SHISAL1,turquoise,black,grey,-3.24,-0.26,-0.03,-6.41,2.86,No
ENSG00000196872,CRACDL,turquoise,black,grey,2.84,1.27,0,6.4,4.11,No
ENSG00000105289,TJP3,turquoise,turquoise,grey,4.46,0.13,0.02,6.39,4.61,No
ENSG00000149243,KLHL35,turquoise,brown,green,2.57,0.17,1.74,6.38,2.37,No
ENSG00000153012,LGI2,brown,brown,Not in network,3.09,3.18,0,6.36,3.34,No
ENSG00000157540,DYRK1A,Not in network,Not in network,Not in network,1.02,0.53,-0.01,6.36,4.41,No
ENSG00000016082,ISL1,brown,brown,turquoise,4.76,0.13,0.03,6.34,3.59,No
ENSG00000000457,SCYL3,Not in network,Not in network,Not in network,1.13,0.27,0.08,6.33,4.42,No
ENSG00000228716,DHFR,turquoise,black,Not in network,1.62,0.12,0.09,6.33,4.61,No
ENSG00000182541,LIMK2,Not in network,Not in network,Not in network,-1.38,-0.26,0.01,-6.32,5.44,No
ENSG00000105971,CAV2,turquoise,Not in network,red,-2.46,-0.18,-0.03,-6.3,4.93,No
ENSG00000141012,GALNS,Not in network,Not in network,Not in network,-1.77,-0.18,-0.03,-6.3,5.12,No
ENSG00000189057,FAM111B,turquoise,black,grey,1.65,0.5,0.08,6.28,3,No
ENSG00000204421,LY6G6C,yellow,green,grey,-4.48,-0.13,0.01,-6.27,4.44,No
ENSG00000135250,SRPK2,Not in network,Not in network,Not in network,-1.2,-1.1,-0.03,-6.25,3.19,No
ENSG00000007968,E2F2,turquoise,black,brown,1.81,0.16,1.55,6.24,2.33,No
ENSG00000145819,ARHGAP26,brown,brown,Not in network,2.24,1.51,-0.04,6.23,3.94,No
ENSG00000175550,DRAP1,Not in network,Not in network,grey,-1.38,-0.74,-0.04,-6.23,3.06,No
ENSG00000183479,TREX2,yellow,Not in network,grey,-3.1,-2.03,0.03,-6.23,4.35,No
ENSG00000211893,IGHG2,blue,brown,red,2.9,3.53,0.01,6.21,3.1,No
ENSG00000211648,IGLV1-47,blue,brown,red,3.26,3.06,1.35,6.19,3.15,No
ENSG00000239951,IGKV3-20,blue,brown,red,4.14,2.39,0.03,6.19,3.44,No
ENSG00000197565,COL4A6,turquoise,turquoise,grey,-4.21,-0.05,0.02,-6.18,4.6,No
ENSG00000233223,MPDU1-AS1,turquoise,black,grey,1.75,0.94,0.03,6.18,3.45,No
ENSG00000105088,OLFM2,turquoise,turquoise,green,-2.45,-0.98,0.03,-6.16,5.12,No
ENSG00000231971,CT69,blue,yellow,Not in network,-4.25,-0.16,-0.01,-6.16,3.69,No
ENSG00000115718,PROC,turquoise,red,Not in network,-3.67,-0.12,-0.01,-6.15,4.67,No
ENSG00000164985,PSIP1,brown,Not in network,Not in network,1.73,0.26,0.05,6.15,4.78,No
ENSG00000105877,DNAH11,turquoise,red,brown,4.09,-0.09,1.58,6.14,4.43,No
ENSG00000122642,FKBP9,Not in network,turquoise,Not in network,-1.83,-0.35,0.01,-6.14,4.44,No
ENSG00000166033,HTRA1,turquoise,turquoise,grey,-3.07,-0.09,0,-6.14,5.45,No
ENSG00000177455,CD19,blue,brown,red,3.56,3.44,-0.02,6.14,3.92,No
ENSG00000073008,PVR,Not in network,Not in network,Not in network,-1.52,-0.26,-0.03,-6.12,4.66,No
ENSG00000166405,RIC3,blue,grey,grey,4.12,0.17,0.01,6.1,4.88,No
ENSG00000215883,CYB5RL,Not in network,Not in network,Not in network,1.65,0.4,0.66,6.08,2.58,No
ENSG00000166794,PPIB,Not in network,Not in network,Not in network,-1.29,-0.78,0,-6.07,3.32,No
ENSG00000007312,CD79B,blue,brown,Not in network,2.17,2.3,-0.01,6.06,3.92,No
ENSG00000186496,ZNF396,turquoise,Not in network,Not in network,2.86,0.44,0,6.06,4.62,No
ENSG00000120322,PCDHB8,turquoise,brown,Not in network,-3.57,-0.14,0.01,-6.05,3.3,No
ENSG00000149483,TMEM138,Not in network,Not in network,Not in network,-1.04,0.02,-0.16,-6.05,4.85,No
ENSG00000159387,IRX6,brown,brown,grey,4.32,0.09,2.33,6.05,2.77,No
ENSG00000175147,TMEM51-AS1,blue,turquoise,Not in network,2.48,0.07,0.67,6.05,3.58,No
ENSG00000109618,SEPSECS,Not in network,Not in network,Not in network,1.39,0.6,-0.06,6.04,4.44,No
ENSG00000178217,SH2D4B,brown,Not in network,Not in network,2.98,1.46,0,6.04,3.37,No
ENSG00000256940,PPP1R14B-AS1,turquoise,yellow,Not in network,-2.65,-0.15,-0.01,-6.02,3.47,No
ENSG00000070759,TESK2,Not in network,Not in network,yellow,1.46,0.63,0.03,6.01,3.37,No
ENSG00000197345,MRPL21,Not in network,black,grey,-1.35,-1.29,-1.16,-6.01,2.83,No
ENSG00000177301,KCNA2,brown,yellow,Not in network,6.01,0.02,-0.02,6,6.24,No
ENSG00000181143,MUC16,blue,blue,grey,4.02,1.64,0.01,6,3.24,No
ENSG00000137310,TCF19,Not in network,Not in network,brown,1.15,0.29,0.69,5.99,2.48,No
ENSG00000172350,ABCG4,yellow,Not in network,grey,-3.3,-0.22,-0.01,-5.99,4.36,No
ENSG00000114473,IQCG,turquoise,turquoise,Not in network,2.16,0.22,0,5.97,5.01,No
ENSG00000224373,IGHV4-59,blue,brown,red,4.09,0.16,0.02,5.97,2.98,No
ENSG00000258947,TUBB3,turquoise,Not in network,grey,-3.38,-0.1,-0.04,-5.95,3.72,No
ENSG00000157680,DGKI,blue,Not in network,Not in network,-3.88,-0.04,-0.04,-5.94,5.12,No
ENSG00000075303,SLC25A40,Not in network,Not in network,Not in network,1.29,0.16,0.04,5.93,4.8,No
ENSG00000114631,PODXL2,turquoise,red,green,2.22,-0.07,2.81,5.93,3.45,No
ENSG00000116205,TCEANC2,Not in network,Not in network,Not in network,1.22,0.35,0.06,5.92,3.6,No
ENSG00000275395,FCGBP,blue,magenta,green,2.26,0.03,1.97,5.91,2.87,No
ENSG00000143013,LMO4,blue,black,Not in network,2.4,1.06,0,5.9,3.58,No
ENSG00000149948,HMGA2,turquoise,turquoise,grey,-3.58,-0.06,-0.01,-5.9,2.51,No
ENSG00000211945,IGHV1-18,blue,brown,turquoise,4.7,2.1,0.01,5.9,2.56,No
